"","user_id","screen_name","category","description","name","gender","followers_count","profile_image_url","country"
"33","402061237","FernandoMezaOK","candidates","Vicepresidente 1ro del Honorable Concejo Deliberante de la Ciudad de Posadas","Fernando Aníbal Meza",NA,"5265","http://pbs.twimg.com/profile_images/1213952822611468289/gaXK5IHG_normal.jpg","ar"
"34","1261316591456858112","ElenaVacchetta","candidates","Docente jubilada. Actualmente dedicada a trabajar por el bien común","Elena Vacchetta",NA,"20","http://pbs.twimg.com/profile_images/1301133926535180293/9h0fEG_S_normal.jpg","ar"
"35","1092419513444904960","LinaresCarlosCR","candidates","Candidato a Senador por @frentedetodos. Presidente del Partido Justicialista de Chubut. Ex intendente de Comodoro Rivadavia.<U+270C><U+0001F3FB>","Carlos Linares",NA,"2533","http://pbs.twimg.com/profile_images/1424203788483760129/rl5ivqph_normal.jpg","ar"
"36","332543511","anabelfsagasti","candidates","Senadora Nacional por Mendoza. Vicepresidenta del Bloque del Frente de Tod<U+2600><U+FE0F>s-PJ. Presidenta del Partido Justicialista de Mendoza. Abogada.","Anabel Fernández Sagasti","F","51229","http://pbs.twimg.com/profile_images/1423645344953475073/L-PzF_o2_normal.jpg","ar"
"37","348162671","MartinAveiro","candidates","Intendente de Tunuyán. Gestión que Transforma #SigamosJuntos https://t.co/2Trq8BSdXK","Martín Aveiro",NA,"5960","http://pbs.twimg.com/profile_images/758644405985239040/RVH_sz-p_normal.jpg","ar"
"38","1423693789848383494","AdrianaBonadeoE","candidates","Técnica  Superior en Gestión  Publica Ex Diputada Partido Justicialista período  2002_ 2006","Adriana Bonadeo",NA,"26","http://pbs.twimg.com/profile_images/1423694706421243914/KO1mS9NJ_normal.jpg","ar"
"39","875013170661912577","rodenasale","candidates","Vicegobernadora de la Provincia de Santa Fe. Abogada. Docente en UNR.","Alejandra Rodenas <U+2600><U+FE0F>",NA,"18653","http://pbs.twimg.com/profile_images/1425993136556359686/Wj9bvobF_normal.jpg","ar"
"40","588761482","AnaAlmironCtes","candidates","Senadora Nacional por Corrientes. Pre candidata a renovar la banca.
La Campora.
Militante del Frente de Tod<U+2600><U+FE0F>S.","Ana Almirón","F","5350","http://pbs.twimg.com/profile_images/1428071313172750341/tmEuqfxC_normal.jpg","ar"
"41","1429104734","AdrianaLeher","candidates","Ex-Diputada Provincial La Pampa","Adriana Leher",NA,"527","http://pbs.twimg.com/profile_images/479047717750984705/GeFWoS6F_normal.jpeg","ar"
"42","1007843263","antoniorodasok","senators","Senador del proyecto Nacional y Popular de Alberto y Cristina. Vicepresidente de la Comisión de Ambiente en @senadoargentina
#Frentedetodos<U+2600><U+FE0F> <U+270C><U+FE0F><U+2665><U+FE0F>","Antonio Rodas","M","1304","http://pbs.twimg.com/profile_images/1379606810450092032/qU3y_2iv_normal.jpg","ar"
"43","153459179","martinmaquieyra","deputies","<U+0001F4AA>Candidato a Diputado Nacional por JxC #UnidosxLaPampa <U+0001F4CC>Integrante de La Generación @lageneracionarg <U+0001F468><U+200D><U+0001F393>Licenciado en Ciencias Políticas.","Martin Maquieyra","M","3693","http://pbs.twimg.com/profile_images/1293698957042999297/f61efbur_normal.jpg","ar"
"44","307976282","JorgeRomeroCtes","deputies","Contador Público. Diputado Nacional bloque @Diputados_Todos. Correntino y Peronista. Casado con Lilian. Papá de Ailín, Jazmín y Lautaro.","Jorge Antonio Romero","M","1109","http://pbs.twimg.com/profile_images/1433837021991215130/rHhiBqRI_normal.jpg","ar"
"45","42637609","SantiagoCafiero","national executive","Canciller argentino. Licenciado en Ciencia Política (UBA). Militante peronista.","Santiago Cafiero","M","336255","http://pbs.twimg.com/profile_images/1380268866018934793/2_o0cmx-_normal.jpg","ar"
"46","290789612","SantoroLeandro","candidates","Diputado de la Ciudad Autónoma de Buenos Aires. @FrenteDeTodos","Leandro Santoro",NA,"336822","http://pbs.twimg.com/profile_images/1430179894990974986/UCTfkFMm_normal.jpg","ar"
"47","1613508258","lpokoik","candidates","Precandidata a Diputada Nacional por CABA por el @FrenteDeTodos. Legisladora Porteña. Secretaria de Cultura del @PjCiudad. Presidenta de la Mutual Homero Manzi.","Lorena Pokoik",NA,"26620","http://pbs.twimg.com/profile_images/1424467090635956230/aGHppgOO_normal.jpg","ar"
"48","30049238","matiastombolini","candidates","Papá de tres. Enamorado de María. Economista y docente universitario. Vicepresidente del Banco de la Nación Argentina.","Matias Tombolini",NA,"127802","http://pbs.twimg.com/profile_images/1380598574963113987/V2bqYOcd_normal.jpg","ar"
"49","94488593","mariarachid","candidates","Titular del Instituto contra la Discriminación de la Defensoría del Pueblo CABA. Diputada Porteña (MC). Integrante de la CD de la FALGBT.","María Rachid",NA,"23372","http://pbs.twimg.com/profile_images/1422296814171131915/sSBolKrN_normal.jpg","ar"
"50","143025162","VictorColombano","candidates","Secretario Administrativo de @ALAFlatino; Peronista CABA; Dirigente NEP, Porteño del barrio de Flores. #vamosArgentina, Espacio Cultural Fermín","Víctor Colombano",NA,"2965","http://pbs.twimg.com/profile_images/1272310176541007872/nESfsEOn_normal.jpg","ar"
"51","1221597890","marcheorlando","candidates","El derecho de los trabajadores y los humildes, una bandera que nunca se ha de arriar, una lucha que nunca ha de cesar un objetivo que vamos a lograr.","Marcelo Hector Orlando",NA,"137","http://pbs.twimg.com/profile_images/1425853687021383680/SO5q8tv6_normal.jpg","ar"
