"user_id","screen_name","category","description","name","gender","followers_count","profile_image_url","country"
"1579326655","CascallaresPJ","province servants","Intendente de Almirante Brown. Dirigente Justicialista de la Tercera Sección Electoral.","Mariano Cascallares","M",36563,"http://pbs.twimg.com/profile_images/943611858921099266/7-zwD5J1_normal.jpg","ar"
"1155492654639198208","CaserioCarlos","senators","Senador Nacional por Córdoba -","Carlos Caserio","M",4501,"http://pbs.twimg.com/profile_images/1183043827814322176/SONvyPX4_normal.jpg","ar"
"63511700","CastagnetoC","others","Director de la Dirección General de los Recursos de la Seguridad Social - AFIP - Presidente del Partido Kolina Nacional","Carlos Castagneto","M",21646,"http://pbs.twimg.com/profile_images/1309220747974504451/8gXohAUF_normal.jpg","ar"
"486961348","ClauNaj","deputies","Diputada Nacional UCR - Cambiemos por Mendoza Ex Ministra de Salud, Desarrollo Social y Deportes. Gobierno de la Provincia de Mendoza.","Claudia Najul","F",11435,"http://pbs.twimg.com/profile_images/802676037637259264/HfPgXC1W_normal.jpg","ar"
"1291124616514207744","ClaudiaLAZamora","senators","Perfil oficial de la Presidenta Provisional del Honorable Senado de la Nación. Ex-Gobernadora de Santiago del Estero (2013 - 2017). Abogada.","Claudia Ledesma Abdala de Zamora","F",1493,"http://pbs.twimg.com/profile_images/1293581749839159296/xZINbv3f_normal.jpg","ar"
"1153087813405106176","ClaudiaTodos","deputies","Diputada Nacional del frente TODOS","Claudia Ormachea Todes","F",1118,"http://pbs.twimg.com/profile_images/1157296583580499969/0Kt7iTlD_normal.jpg","ar"
"276092562","Claudiagmarquez","deputies","Diputada Nacional por la Provincia de Córdoba- Abogada","Claudia G. Marquez","F",700,"http://pbs.twimg.com/profile_images/1367448772066873346/HM0lwqjH_normal.jpg","ar"
"309454438","Colorizzotti","deputies","Soy Diputado Provincial y Vicepresidente 2º de la Legislatura de Jujuy.
Aspiro a contribuir para que todos los Jujeños tengamos la Provincia que nos merecemos.","Jorge Rizzotti","M",263,"http://pbs.twimg.com/profile_images/1378469794/colo_tewter_normal.jpg","ar"
"879024609227665408","CostaAugusto9","province servants","Ministro de Producción, Ciencia e Innovación Tecnológica de la Provincia de Buenos Aires. Fanático de @Velez. Economista (UBA). Padre de Amanda.","Augusto Costa","M",19999,"http://pbs.twimg.com/profile_images/914610177713860608/gYpBI9gl_normal.jpg","ar"
"267960594","CrisAlvarezRod","deputies","Arquitecta. Peronista. Diputada Nacional. Presidenta ad honorem del @MuseoEvita","Cristina Alvarez Rodríguez","F",73594,"http://pbs.twimg.com/profile_images/1260292659857547264/bukoLO-Z_normal.jpg","ar"
"1233275798754295808","Cristobal_ok","others","Empresario argentino.","Cristobal López","M",16585,"http://pbs.twimg.com/profile_images/1233276603523837953/0b32LcOy_normal.jpg","ar"
"726934705128374272","DanielLoveraLP","senators",NA,"Daniel Lovera","M",1425,"http://pbs.twimg.com/profile_images/726936486654951426/gkCqoczL_normal.jpg","ar"
"885917555017355264","DaniloAFlores","deputies","Diputado Nacional Pcia. La Rioja","Danilo Adrián Flores","M",2355,"http://pbs.twimg.com/profile_images/943899057906442240/Ppu3_ub9_normal.jpg","ar"
"1067570620584607744","DeluMelina","deputies","Lic. en Relaciones Internacionales.
Diputada Nacional por el Partido Justicialista de La Pampa.","Melina Delú","F",535,"http://pbs.twimg.com/profile_images/1285690844566167569/qpf6Iqrx_normal.jpg","ar"
"703301022156984320","DeportesAR","national executive","Cuenta oficial del deporte de la Argentina.","Deportes Argentina","ND",21872,"http://pbs.twimg.com/profile_images/1375079600619982849/ifdG9uyN_normal.jpg","ar"
"314982614","DiGiacomoLuis","deputies","Diputado Nacional - Juntos Somos Río Negro. Ex ministro de Gobierno de mi provincia. Psiquiatra. Interbloque Unidad Federal para el Desarrollo.","Luis Di Giacomo","M",1862,"http://pbs.twimg.com/profile_images/1351665837988577282/kha68Dxp_normal.jpg","ar"
"597004473","DiegoMMestre","deputies","Diego Matias Mestre. Padre de Hipólito, Luz y Santiago. Diputado Nacional. Delegado al Cte Nacional UCR. Pte de la Comisión de  Defensa del Consumidor HCDN.","DIEGO MESTRE","M",18880,"http://pbs.twimg.com/profile_images/1195423487483162627/bq3zLNqD_normal.jpg","ar"
"997495791924195328","DipEstelaH","deputies","Diputada Nacional por Chubut / Frente de Tod☀s - PJ. ✌🏽🇦🇷","Estela Hernández","F",1960,"http://pbs.twimg.com/profile_images/1281431151022931969/yPTdKkx0_normal.jpg","ar"
